"","V1"
"mean_price",0.120071104258624
"sd_price",0.0439296784284422
"mean_loyalty",0.0872493219588919
"sd_loyalty",0.282200376050849
"mean_display",0.00555577463184273
"sd_display",0.0743298062949715
"mean_feature",0.0384456975608059
"sd_feature",0.192269880343721
"mean_price_condl",0.131356729891508
"sd_price_condl",0.0139033007885882
"mean_loyalty_condl",0.452300785634119
"sd_loyalty_condl",0.497812712092099
"mean_display_condl",0.0130939019827908
"sd_display_condl",0.113698232002768
"mean_feature_condl",0.0826786382341937
"sd_feature_condl",0.275447391212356
